ticker,founding_year,num_rounds,last_round_type,total_funding_usd,has_crunchbase,source
SKYT,,,,,0,edgar_s1
IFBD,,,,,0,edgar_s1
BMEA,,1.0,Series A,68800000.0,0,edgar_s1
RXRX,2006.0,4.0,Series D,,0,edgar_s1
KRT,2018.0,,,1900000.0,0,edgar_s1
TSPH,,1.0,Series E,50000000.0,0,edgar_s1
ALKT,2011.0,3.0,Series F,421600000.0,0,edgar_s1
COIN,2012.0,,,3000000.0,0,edgar_s1
WTO,,,,,0,edgar_s1
COMP,2012.0,2.0,Series F,3200000.0,0,edgar_s1
EM,2017.0,4.0,Series D,,0,edgar_s1
KARO,2001.0,,,,0,edgar_s1
ULCC,2013.0,,,150000000.0,0,edgar_s1
COUR,2011.0,2.0,Series F,,0,edgar_s1
ALHC,,,,,0,edgar_s1
DSGN,2017.0,2.0,Series B,1000000.0,0,edgar_s1
EWTX,2017.0,2.0,Series C,160700000.0,0,edgar_s1
ZH,,6.0,Series F,,0,edgar_s1
CRCT,,,,300000.0,0,edgar_s1
EEIQ,2012.0,,,,0,edgar_s1
ACVA,2014.0,5.0,Series E,2400000.0,0,edgar_s1
DOCN,2012.0,2.0,Series C,,0,edgar_s1
MOVE,2018.0,1.0,Series A,37100000.0,0,edgar_s1
UPC,2010.0,,,,0,edgar_s1
CNTB,2015.0,3.0,Series C,,0,edgar_s1
FNCH,2014.0,4.0,Series D,600000.0,0,edgar_s1
TIL,2018.0,1.0,Series A,14800000.0,0,edgar_s1
GANX,,,,,0,edgar_s1
TUYA,,4.0,Series D,,0,edgar_s1
JWEL,,,,,0,edgar_s1
SNCY,,,,,0,edgar_s1
WALD,1993.0,4.0,Series D,2700000.0,0,edgar_s1
HAYW,2017.0,,,,0,edgar_s1
STKH,2018.0,1.0,Series E,8000000.0,0,edgar_s1
CPNG,2010.0,,,,0,edgar_s1
RBLX,2004.0,1.0,Series F,25200000.0,0,edgar_s1
GROY,2009.0,,,,0,edgar_s1
INNV,2007.0,2.0,Series C,,0,edgar_s1
OSCR,2017.0,,,4600000.0,0,edgar_s1
TWLV,,,,,0,edgar_s1
CMII,,,,,0,edgar_s1
AUUD,,,,,0,edgar_s1
LGVN,,,,,0,edgar_s1
BMBL,,,,,0,edgar_s1
BVS,2019.0,1.0,Series C,1177000.0,0,edgar_s1
LDI,2020.0,,,,0,edgar_s1
DSP,1999.0,,,,0,edgar_s1
ADAG,2011.0,3.0,Series C,,0,edgar_s1
EPOW,2014.0,,,,0,edgar_s1
GIG,2023.0,,,,0,edgar_s1
RAASY,,6.0,Series F,,0,edgar_s1
BAOS,2014.0,,,,0,edgar_s1
BOLT,2015.0,1.0,Series B,173700000.0,0,edgar_s1
CNEY,,,,,0,edgar_s1
EVAX,,,,,0,edgar_s1
IMCR,2007.0,2.0,Series C,873200000.0,0,edgar_s1
PHVS,,3.0,Series C,,0,edgar_s1
TERN,2017.0,3.0,Series C,56000000.0,0,edgar_s1
VOR,2015.0,1.0,Series B,440000.0,0,edgar_s1
SANA,2018.0,2.0,Series B,175000000.0,0,edgar_s1
SNSE,1999.0,,,88900000.0,0,edgar_s1
ONTF,1998.0,,,,0,edgar_s1
VINP,2009.0,,,,0,edgar_s1
ZIM,,,,,0,edgar_s1
SHLS,,,,,0,edgar_s1
TIRX,,,,,0,edgar_s1
EZGO,,,,,0,edgar_s1
HUDI,1998.0,,,,0,edgar_s1
MNTK,2009.0,,,52500000.0,0,edgar_s1
PAX,,,,,0,edgar_s1
RLX,,3.0,Series C,,0,edgar_s1
DFH,2020.0,4.0,Series D,4500000.0,0,edgar_s1
DRVN,,,,4300000.0,0,edgar_s1
PLTK,2010.0,,,28000000.0,0,edgar_s1
WOOF,,,,,0,edgar_s1
AFRM,2011.0,1.0,Series D,,0,edgar_s1
MSGM,,,,,0,edgar_s1
CGEM,2018.0,3.0,Series C,23000000.0,0,edgar_s1
