ticker,open_day_price,first_day_pop,return_1d,return_30d,return_90d,return_180d
LUCD,11.760000228881836,7.2817,-0.2049,-0.2823,-0.7151,-0.7934
CGTX,12.770000457763672,6.1341,-0.0368,-0.1926,-0.715,-0.8669
OLPX,24.5,-0.9565,-0.0653,0.031,-0.1735,-0.4282
WRBY,54.4900016784668,7.9182,-0.0264,0.0484,-0.4091,-0.755
ARBK,3618.0,240.2,-0.009,0.0334,-0.3809,-0.6579
FRSH,47.54999923706055,17.7989,-0.0002,-0.0944,-0.5426,-0.6988
TOST,62.5099983215332,2.0359,-0.0562,0.0077,-0.634,-0.745
BROS,36.68000030517578,33.2804,0.3086,0.8503,0.2407,0.09
KTTA,71.19999694824219,98.1782,-0.059,-0.1685,-0.6601,-0.7163
PRCT,41.939998626708984,41.7959,-0.1438,-0.0005,-0.5799,0.0536
TYRA,26.0,2.4806,-0.1996,-0.1358,-0.5554,-0.7373
DDI,17.75,-0.0658,0.0068,-0.0124,-0.1465,-0.3972
RNXT,7.260000228881836,-0.3278,0.062,-0.2135,-0.3581,-0.7493
DRMA,12456.0,5765.6667,0.0173,-0.0173,-0.58,-0.8073
DOLE,13.124600410461426,-0.2777,0.0538,0.0193,-0.1207,-0.1252
IMRX,17.59000015258789,1.057,-0.0335,0.3297,0.17,-0.6475
MXCT,17.0,2.8549,-0.0294,-0.0994,-0.3506,-0.6835
RANI,11.0,1099.0,-0.0227,0.9482,1.1364,0.2409
RXST,16.0,12.3333,0.0825,-0.1438,-0.2681,-0.2019
TNYA,15.350000381469727,29.098,0.1935,0.4528,0.271,-0.3016
COOK,22.0,0.1,0.0095,0.0918,-0.4173,-0.6682
HOOD,34.81999969482422,14.6847,0.0095,0.1824,-0.3711,-0.6732
NUVL,18.75,124.0,-0.0267,1.0197,0.0763,-0.3659
RLYB,112.80000305175781,111.8,0.2057,-0.1915,-0.1567,-0.3596
RSKD,26.0,2599.0,0.0546,0.1108,-0.6688,-0.7727
DUOL,134.2550048828125,12.9269,0.0014,0.2644,-0.1877,-0.3059
CADL,7.0,1.5362,-0.0129,0.6014,0.4257,-0.3014
CRBU,16.31999969482422,2.1628,0.0263,0.837,0.1391,-0.4939
CTKB,18.760000228881836,9.907,-0.0442,0.2916,0.0752,-0.4552
GAMB,8.0,1.6316,0.0362,0.3188,0.3837,0.0712
ABSI,21.59000015258789,4.9477,0.0602,-0.101,-0.4896,-0.6461
ZENV,10.199999809265137,9.2,0.0,0.751,-0.1588,-0.3755
ZVIA,13.649999618530273,-0.1911,0.0088,0.1267,-0.4527,-0.6747
KLTR,12.0,32.3333,-0.0292,-0.035,-0.58,-0.8592
LAW,41.0,5.3174,0.0568,0.3263,-0.0939,-0.1846
HCWB,252.0,239.0,-0.1825,-0.3698,-0.5524,-0.5349
BLND,20.899999618530273,19.6931,-0.1421,-0.2383,-0.4785,-0.7703
ERAS,17.43000030517578,10.3922,0.0287,0.3201,-0.0293,-0.5152
TCRX,10.5,31.8125,-0.0467,-0.1514,-0.2314,-0.7248
RPID,21.399999618530273,45.5217,0.1262,0.0467,-0.2528,-0.6827
